the_geom,OBJECTID,Business Name,Address,Suite,Zip,Phone Number
POINT (-90.019905393762 29.911227182775),332,WAL-MART  #1163(ALGIERS),4001 BEHRMAN HWY,,70114,
POINT (-90.079430363141 29.935157810828),251,RED ZONE I,2025 ST CHARLES AVE,,70130,
POINT (-90.042646757267 29.967101679825),61,CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 ST CLAUDE AVE,,70117,
POINT (-90.099967256932 29.958690719632),148,"HUEY LONG FOODS, LLC",4333 EUPHROSINE ST,,70125,
POINT (-89.911367964934 30.035968125017),69,CHEF MARKET,14400 CHEF MENTEUR HWY,,70129,
POINT (-89.992314528295 30.02847564279),88,CROWDER CENTER,5769 CROWDER BLVD,,70127,504-241-6555
POINT (-89.961463467552 30.04342760691),334,WAL-MART #912(EASTERN NO),6000 BULLARD AVE,,70128,479-204-6234
POINT (-90.007948358098 29.918707807633),314,TIGER MART,3450 KABEL DR,,70131,504-394-0240
POINT (-90.076989294557 29.951922709288),315,TODAY'S CAJUN,1700 ST CLAUDE AVE,,70116,
POINT (-90.088530872979 29.969271285635),226,NORMA'S SWEET BAKERY,2925 BIENVILLE AVE,,70119,504-309-5401
POINT (-90.070068409211 29.9297687441),72,CHIPPEWA FOOD STORE,1684 CHIPPEWA ST,,70130,
POINT (-90.082706506995 29.926252649772),74,CIEL MARKET,2801 MAGAZINE ST,STE. 4,70115,
POINT (-90.037161039214 29.94512400381),42,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,70114,504-366-2413
POINT (-90.076582892185 29.985725798201),114,FAIR ZONE FOOD STORE 2,1825 GENTILLY BLVD,,70119,504-461-6175
POINT (-90.089613892179 29.963380470941),19,BANKS MEAT MARKET,325 S BROAD ST,,70119,504-822-9004
POINT (-90.122885731538 29.922299081601),185,M M A NEW ORLEANS LLC,6050 MAGAZINE ST,,70118,
POINT (-90.100217704488 29.940832037626),80,CLAIBORNE #165,4101 S CLAIBORNE AVE,,70125,
POINT (-90.117647833343 29.920834215075),340,WHOLE FOODS MARKET,5600 MAGAZINE ST,,70115,000-899-9119
POINT (-90.13026444504 29.95013195612),295,STOP & CARRY GROCERY,1328 DANTE ST,,70118,504-866-8347
POINT (-90.033864631369 29.964517456049),320,TRY ME COFFEE MILLS,1014 FRANCE ST,,70117,504-945-4314
POINT (-89.965717318842 30.018620015648),322,TWINS SEAFOOD,10240 CHEF MENTEUR HWY,,70127,
POINT (-90.088304905963 29.983228588044),307,THE BAYOU GROCERY,3443 ESPLANADE AVE,134,70119,
POINT (-90.124214245798 29.967202643521),252,REDBERRY'S HOT PLATES & PO BOYS,9103 FIG ST,,70118,504-264-0226
POINT (-90.070314950856 29.965630408797),155,J C FOOD MARKET,1532 ST PHILIP ST,,70116,504-221-8270
POINT (-90.085226895461 29.980645150829),305,TERRANOVA SUPERMARKET,3308 ESPLANADE AVE,,70119,
POINT (-90.067265019659 29.958663918945),317,TOULOUSE HOUSE,605 DAUPHINE ST,,70112,504-529-4270
