X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-76.983983,39.5854660000001,16137,"WESTMINSTER, MD",1867,Wal-Mart,Retail,1,280 WOODWARD RD,WESTMINSTER,CARROLL,MD,21157-4677,2,Open,,Y,Y,1867,No,,No,
-70.2381779999999,44.1177420000001,16138,"AUBURN, ME",1868,WM Supercenter,Retail,1,100 MOUNT AUBURN AVE,AUBURN,ANDROSCOGGIN,ME,04210-8651,5,Open,,Y,Y,1868,Yes,Available,Yes,Available
-74.915418,39.896243,16139,"MARLTON, NJ",1869,Wal-Mart,Retail,1,150 E ROUTE 70,MARLTON,BURLINGTON,NJ,08053-1856,2,Open,,Y,Y,1869,No,,No,
-117.175627,46.712044,16141,PULLMAN WA,1870,WM Supercenter,Retail,1,1690 SE HARVEST DR,PULLMAN,WHITMAN,WA,99163-6000,5,Open,,Y,Y,1870,No,,Yes,Available
-75.958967,43.9765770000001,16142,"WATERTOWN, NY",1871,WM Supercenter,Retail,1,20823 STATE ROUTE 3,WATERTOWN,JEFFERSON,NY,13601-5577,5,Open,,Y,Y,1871,No,Available,No,Available
-111.990775,46.593418,16143,"HELENA, MT",1872,WM Supercenter,Retail,1,2750 PROSPECT AVE,HELENA,LEWIS AND CLARK,MT,59601-9741,5,Open,,Y,Y,1872,No,,Yes,Available
-71.4985849999999,41.7880950000001,16144,"PROVIDENCE/CRANSTON, RI",1873,WM Supercenter,Retail,1,1776 PLAINFIELD PIKE,CRANSTON,PROVIDENCE,RI,02921-2042,5,Open,,Y,Y,1873,Yes,,Yes,Available
-82.3103159999999,26.9322720000001,16145,"ENGLEWOOD, FL",1874,WM Supercenter,Retail,1,2931 S MCCALL RD,ENGLEWOOD,CHARLOTTE,FL,34224-8607,5,Open,,Y,Y,1874,No,Available,Yes,Available
-76.646671,39.1463650000001,16146,"GLEN BURNIE, MD",1875,WM Supercenter,Retail,1,407 GEORGE CLAUS BLVD,SEVERN,ANNE ARUNDEL,MD,21144-1317,5,Open,,Y,Y,1875,No,Available,Yes,Available
-105.127543,40.1493780000001,16148,LONGMONT ALT CO,4987,Sam's Club,Wholesale,1,1200 SOUTH HOVER,LONGMONT,BOULDER,CO,80501-0000,2,Open,,Y,Y,4987,,,Yes,
-85.425481,32.608056,16150,"AUBURN, AL",4989,Sam's Club,Wholesale,1,2335 BENT CREEK RD,AUBURN,LEE,AL,36830-6434,2,Open,,Y,Y,4989,,,Yes,
-97.945622,36.3877840000001,16151,ENID OK,499,WM Supercenter,Retail,1,5505 W OWEN K GARRIOTT RD,ENID,GARFIELD,OK,73703-6075,5,Open,,Y,Y,499,No,,No,Available
-87.855957,30.6588190000001,16152,"DAPHNE, AL",4990,Sam's Club,Wholesale,1,29683 FREDERICK BLVD,DAPHNE,BALDWIN,AL,36526-9571,2,Open,,Y,Y,4990,,,Yes,
-80.7940149999999,28.362441,16153,"COCOA, FL",4991,Sam's Club,Wholesale,1,450 TOWNSEND RD,COCOA,BREVARD,FL,32926-3308,2,Open,,Y,Y,4991,,,Yes,
-85.8907839999999,37.7277110000001,16154,"ELIZABETHTOWN, KY",4992,Sam's Club,Wholesale,1,1500 RING RD,ELIZABETHTOWN,HARDIN,KY,42701-7984,2,Open,,Y,Y,4992,,,Yes,Available
-77.025542,40.250572,16156,MECHANICSBURG PA,4994,Sam's Club,Wholesale,1,6520 CARLISLE PIKE SUITE #250,MECHANICSBURG,CUMBERLAND,PA,17050-0000,2,Open,,Y,Y,4994,,,,
-79.4301389999999,36.5858860000001,16158,"DANVILLE (C), VA",4996,Sam's Club,Wholesale,1,215 PIEDMONT PL,DANVILLE,DANVILLE CITY,VA,24541-4176,2,Open,,Y,Y,4996,Yes,,Yes,
-81.931247,28.9344970000001,16160,"THE VILLAGES, FL",4998,Sam's Club,Wholesale,1,755 N. HWY 27/441,LADY LAKE,LAKE,FL,32159-3196,2,Open,,Y,Y,4998,,,Yes,
-91.3272919999999,39.9384640000001,16161,"QUINCY, IL",4999,Sam's Club,Wholesale,1,700 N 54TH ST,QUINCY,ADAMS,IL,62305-7909,2,Open,,Y,Y,4999,,,Yes,
-92.437042,35.108595,16162,CONWAY AR,5,WM Supercenter,Retail,1,1155 HWY 65 NORTH,CONWAY,FAULKNER,AR,72032-0000,5,Open,,Y,Y,5,No,Available,Yes,Available
-95.140373,36.631856,16163,VINITA OK,50,WM Supercenter,Retail,1,268 S 7TH ST,VINITA,CRAIG,OK,74301-3737,5,Open,,Y,Y,50,No,,No,
-106.438333,31.896236,16164,EL PASO TX,500,WM Supercenter,Retail,1,4530 WOODROW BEAN,EL PASO,EL PASO,TX,79924-4408,5,Open,,Y,Y,500,No,Available,No,Available
-107.063224,37.2596830000001,16167,PAGOSA SPRINGS CO,5003,WM Supercenter,Retail,1,211 ASPEN VILLAGE DRIVE,PAGOSA SPRINGS,ARCHULETA,CO,81147-0000,2,Open,,Y,Y,5003,No,,Yes,
-81.7570479999999,30.2715480000001,16169,JACKSONVILLE WILSON FL,5005,Neighborhood Market,Retail,1,6855 WILSON BOULEVARD,JACKSONVILLE,DUVAL,FL,32210-0000,2,Open,,Y,Y,5005,No,,No,
-121.951128,38.350599,16171,VACAVILLE CA,5007,Neighborhood Market,Retail,1,2050 NUT TREE RD,VACAVILLE,SOLANO,CA,95687-7108,2,Open,,Y,Y,5007,No,,No,Available
